task_id,task_family,gold_answer,best_baseline_arm,best_baseline_output,math_governed_output,baseline_correct,math_correct,score_components_changed,aaron_specific_modules_activated,final_answer_changed_by_math,math_changed_decision_type,math_vs_best_baseline_result
task_00005,node_label_classification,36,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00014,node_label_classification,22,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00015,node_label_classification,16,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00017,node_label_classification,4,sham_complexity,4,4,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00021,node_label_classification,21,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00026,node_label_classification,15,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00033,node_label_classification,0,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00050,node_label_classification,14,sham_complexity,14,14,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00051,node_label_classification,1,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00052,node_label_classification,19,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00055,node_label_classification,7,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00056,node_label_classification,14,sham_complexity,14,14,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00057,node_label_classification,8,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00058,node_label_classification,4,sham_complexity,4,4,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00060,node_label_classification,10,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00066,node_label_classification,21,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00076,node_label_classification,7,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00080,node_label_classification,10,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00084,node_label_classification,3,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00107,node_label_classification,9,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00111,node_label_classification,10,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00117,node_label_classification,4,sham_complexity,4,4,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00126,node_label_classification,14,sham_complexity,14,14,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00142,node_label_classification,11,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00145,node_label_classification,15,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00148,node_label_classification,13,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00150,node_label_classification,4,sham_complexity,4,4,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00154,node_label_classification,11,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00156,node_label_classification,5,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
task_00167,node_label_classification,14,sham_complexity,14,14,1,1,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_correct
task_00176,node_label_classification,17,sham_complexity,14,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,1,changed_but_still_wrong,tie_wrong
task_00185,node_label_classification,1,sham_complexity,4,4,0,0,extra_orchestration_no_boundary_math -> boundary_block_weighted_vote,1,0,no_change,tie_wrong
